Domain,AreaCode,ItemCode,ElementCode,d.source,ItemName,ElementName,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
GF,IDN,FC,EM_CO2,Outlook,Net Forest conversion,Emissions or CO2,Gigagram,1126951.541,344209.3633,341272.5863,338317.3541,335343.4922,332350.824,406857.5629,402383.3372,397845.5828,393242.937,388573.9979,383407.1325,378615.3544,373753.0975,368818.7954,363810.8347,374725.1555,290851.944,131564.1447,132879.7938,134208.5966,135550.6859,136906.1881,138275.2447,139658.0127,141054.5767,142465.1396,143889.7719,145328.6822,146781.968,148249.7964
GF,IDN,FC,Emissions_CO2Eq,Outlook,Net Forest conversion,Emissions of all GHG in CO2 Equivalent,Gigagram,1126951.541,344209.3633,341272.5863,338317.3541,335343.4922,332350.824,406857.5629,402383.3372,397845.5828,393242.937,388573.9979,383407.1325,378615.3544,373753.0975,368818.7954,363810.8347,374725.1555,290851.944,131564.1447,132879.7938,134208.5966,135550.6859,136906.1881,138275.2447,139658.0127,141054.5767,142465.1396,143889.7719,145328.6822,146781.968,148249.7964
GF,IDN,FO,EM_CO2,Outlook,Forest,Emissions or CO2,Gigagram,-676684.8739,344390.6367,347327.4137,350282.6459,353256.5078,356249.176,592675.7704,597149.9962,601687.7505,606290.3963,610959.3354,614659.5342,619451.3122,624313.5691,629247.8713,634255.832,632379.2717,632799.2946,633596.981,633590.3924,633583.738,633577.0171,633570.2289,633563.3729,633556.4483,633549.4545,633542.3907,633535.2563,633528.0505,633520.7727,633513.4221
GF,IDN,FO,Emissions_CO2Eq,Outlook,Forest,Emissions of all GHG in CO2 Equivalent,Gigagram,-676684.8739,344390.6367,347327.4137,350282.6459,353256.5078,356249.176,592675.7704,597149.9962,601687.7505,606290.3963,610959.3354,614659.5342,619451.3122,624313.5691,629247.8713,634255.832,632379.2717,632799.2946,633596.981,633590.3924,633583.738,633577.0171,633570.2289,633563.3729,633556.4483,633549.4545,633542.3907,633535.2563,633528.0505,633520.7727,633513.4221
GL,IDN,GF,EM_CO2,Outlook,Forest land,Emissions or CO2,Gigagram,450266.6666,688600,688600,688600,688600,688600,999533.3333,999533.3334,999533.3333,999533.3333,999533.3333,998066.6667,998066.6666,998066.6666,998066.6667,998066.6667,1007104.427,923651.2386,765161.1257,766470.1863,767792.3346,769127.703,770476.417,771838.6176,773214.461,774604.0312,776007.5302,777425.0282,778856.7327,780302.7407,781763.2185
GL,IDN,GF,Emissions_CO2Eq,Outlook,Forest land,Emissions of all GHG in CO2 Equivalent,Gigagram,450266.6666,688600,688600,688600,688600,688600,999533.3333,999533.3334,999533.3333,999533.3333,999533.3333,998066.6667,998066.6666,998066.6666,998066.6667,998066.6667,1007104.427,923651.2386,765161.1257,766470.1863,767792.3346,769127.703,770476.417,771838.6176,773214.461,774604.0312,776007.5302,777425.0282,778856.7327,780302.7407,781763.2185
GF,MYS,FC,EM_CO2,Outlook,Net Forest conversion,Emissions or CO2,Gigagram,34830.3637,61904.1885,61618.5976,61329.249,61036.068,60738.9779,0,0,0,0,0,22882.2274,23316.2515,23749.7192,24182.6315,24614.9895,25353.33008,10669.37409,4405.668409,4427.696798,4449.026397,4472.403551,4494.635946,4517.032483,4539.572506,4562.243169,4585.037444,4607.952047,4630.984382,4654.13399,4677.400681
GF,MYS,FC,Emissions_CO2Eq,Outlook,Net Forest conversion,Emissions of all GHG in CO2 Equivalent,Gigagram,34830.3637,61904.1885,61618.5976,61329.249,61036.068,60738.9779,0,0,0,0,0,22882.2274,23316.2515,23749.7192,24182.6315,24614.9895,25353.33008,10669.37409,4405.668409,4427.696798,4449.026397,4472.403551,4494.635946,4517.032483,4539.572506,4562.243169,4585.037444,4607.952047,4630.984382,4654.13399,4677.400681
GF,MYS,FO,EM_CO2,Outlook,Forest,Emissions or CO2,Gigagram,46569.6363,43695.8115,43981.4024,44270.751,44563.932,44861.0221,-60133.3333,-60133.3333,-60133.3333,-60133.3333,-60133.3333,-205482.2274,-205916.2515,-206349.7192,-206782.6315,-207214.9895,-205821.6027,-206628.6143,-206972.8596,-206971.6489,-206970.4767,-206969.1919,-206967.97,-206966.7391,-206965.5004,-206964.2544,-206963.0017,-206961.7423,-206960.4765,-206959.2042,-206957.9255
GF,MYS,FO,Emissions_CO2Eq,Outlook,Forest,Emissions of all GHG in CO2 Equivalent,Gigagram,46569.6363,43695.8115,43981.4024,44270.751,44563.932,44861.0221,-60133.3333,-60133.3333,-60133.3333,-60133.3333,-60133.3333,-205482.2274,-205916.2515,-206349.7192,-206782.6315,-207214.9895,-205821.6027,-206628.6143,-206972.8596,-206971.6489,-206970.4767,-206969.1919,-206967.97,-206966.7391,-206965.5004,-206964.2544,-206963.0017,-206961.7423,-206960.4765,-206959.2042,-206957.9255
GL,MYS,GF,EM_CO2,Outlook,Forest land,Emissions or CO2,Gigagram,81400,105600,105600,105600,105600,105600,-60133.3333,-60133.3333,-60133.3333,-60133.3333,-60133.3333,-182600,-182600,-182600,-182600,-182600,-180468.2726,-195959.2402,-202567.1912,-202543.9521,-202521.4503,-202496.7883,-202473.3341,-202449.7067,-202425.9279,-202402.0112,-202377.9642,-202353.7903,-202329.4921,-202305.0702,-202280.5248
GL,MYS,GF,Emissions_CO2Eq,Outlook,Forest land,Emissions of all GHG in CO2 Equivalent,Gigagram,81400,105600,105600,105600,105600,105600,-60133.3333,-60133.3333,-60133.3333,-60133.3333,-60133.3333,-182600,-182600,-182600,-182600,-182600,-180468.2726,-195959.2402,-202567.1912,-202543.9521,-202521.4503,-202496.7883,-202473.3341,-202449.7067,-202425.9279,-202402.0112,-202377.9642,-202353.7903,-202329.4921,-202305.0702,-202280.5248
