Domain,AreaCode,ItemCode,ElementCode,d.source,ItemName,ElementName,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
GF,IDN,FC,Area,Faostat,NA,NA,NA,1913.6,577.8,577.8,577.8,577.8,577.8,713.8,713.8,713.8,713.8,713.8,713.0,713.0,713.0,713.0,713.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GF,IDN,FC,EM_CO2,Faostat,NA,NA,NA,1126951.5405,344209.3633,341272.5863,338317.3541,335343.4922,332350.824,406857.5629,402383.3372,397845.5828,393242.937,388573.9979,383407.1325,378615.3544,373753.0975,368818.7954,363810.8347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GF,IDN,FC,Emissions_CO2Eq,Faostat,NA,NA,NA,1126951.5405,344209.3633,341272.5863,338317.3541,335343.4922,332350.824,406857.5629,402383.3372,397845.5828,393242.937,388573.9979,383407.1325,378615.3544,373753.0975,368818.7954,363810.8347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GF,IDN,FO,Area,Faostat,NA,NA,NA,99409.0,99098.6,98788.2,98477.8,98167.4,97857.0,97172.0,96487.0,95802.0,95117.0,94432.0,93747.6,93063.2,92378.8,91694.4,91010.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GF,IDN,FO,EM_CO2,Faostat,NA,NA,NA,-676684.8739,344390.6367,347327.4137,350282.6459,353256.5078,356249.176,592675.7704,597149.9962,601687.7505,606290.3963,610959.3354,614659.5342,619451.3122,624313.5691,629247.8713,634255.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GF,IDN,FO,Emissions_CO2Eq,Faostat,NA,NA,NA,-676684.8739,344390.6367,347327.4137,350282.6459,353256.5078,356249.176,592675.7704,597149.9962,601687.7505,606290.3963,610959.3354,614659.5342,619451.3122,624313.5691,629247.8713,634255.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GL,IDN,GF,EM_CO2,Outlook,Forest land,Emissions or CO2,Gigagram,450266.6667,688600.0,688600.0,688600.0,688600.0,688600.0,999533.3333,999533.3333,999533.3333,999533.3333,999533.3333,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667
GL,IDN,GF,Emissions_CO2Eq,Outlook,Forest land,Emissions of all GHG in CO2 Equivalent,Gigagram,450266.6667,688600.0,688600.0,688600.0,688600.0,688600.0,999533.3333,999533.3333,999533.3333,999533.3333,999533.3333,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667,998066.6667
NA,IDN,PL,AH,NA,NA,NA,NA,2369.411765,2588.235294,3282.352941,3576.470588,3905.882353,4341.176471,4835.294117,5364.705883,5858.823529,6317.647059,6800.0,7258.823529,7823.529413,8329.411765,8714.223529,8975.65023,9244.919729,9453.91972833414,9548.45891475365,9643.94349855282,9740.38293163525,9837.78676147463,9936.16462625682,10035.5262658659,10135.8815330596,10237.2403413761,10339.6127500257,10443.0088690817,10547.43895835,10652.9133477541,10759.4424873488
GF,MYS,FC,Area,Faostat,NA,NA,NA,78.5,140.2,140.2,140.2,140.2,140.2,0.0,0.0,0.0,0.0,0.0,54.4,54.4,54.4,54.4,54.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
