Domain,AreaCode,ItemCode,ElementCode,d.source,ItemName,ElementName,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
GL,IDN,GC,EM_CO2,Outlook,Cropland,Emissions or CO2,Gigagram,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73
GL,IDN,GC,Emissions_CO2Eq,Outlook,Cropland,Emissions of all GHG in CO2 Equivalent,Gigagram,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73,285366.73
GL,MYS,GC,EM_CO2,Outlook,Cropland,Emissions or CO2,Gigagram,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538
GL,MYS,GC,Emissions_CO2Eq,Outlook,Cropland,Emissions of all GHG in CO2 Equivalent,Gigagram,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538,36508.538
GT,IDN,GV,EM_N2OEq,Outlook,Cultivation of Organic Soils,Emissions of N2O in CO2  Equivalent,Gigagram,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118
GT,IDN,GV,Emissions_CO2Eq,Outlook,Cultivation of Organic Soils,Emissions of all GHG in CO2 Equivalent,Gigagram,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118,34168.3118
GT,MYS,GV,EM_N2OEq,Outlook,Cultivation of Organic Soils,Emissions of N2O in CO2  Equivalent,Gigagram,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032
GT,MYS,GV,Emissions_CO2Eq,Outlook,Cultivation of Organic Soils,Emissions of all GHG in CO2 Equivalent,Gigagram,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032,4289.1032
NA,IDN,PL,AH,NA,NA,NA,NA,2369.411765,2588.235294,3282.352941,3576.470588,3905.882353,4341.176471,4835.294117,5364.705883,5858.823529,6317.647059,6800.0,7258.823529,7823.529413,8329.411765,8714.223529,8975.65023,9244.919729,9374.34860480825,9505.58948511038,9638.6364546152,9773.4138014638,9909.97371793482,10048.489718071,10188.9759113889,10331.3151354446,10475.4122365882,10621.4004416302,10769.4038667155,10919.5511154741,11071.7816289854,11226.1646570402
NA,MYS,PL,AH,NA,NA,NA,NA,3310.0,3375.0,3260.0,3402.0,3552.0,3678.0,3741.0,3900.0,4010.0,4130.0,4326.0,4352.872,4526.089,4689.321,4830.0,4974.900642,5124.147661,5105.11454380606,5217.19971409021,5332.98484922535,5379.90408367512,5419.76937194613,5429.65801552092,5472.99996547867,5539.40400819143,5584.13237967836,5608.80362858192,5618.46377548316,5628.16515011147,5662.85194525995,5697.54867302926
