AreaCode,AreaName,OutlookAreaCode,OutlookAreaName,OutlookStatus,OutlookSubRegion,OutlookBigRegion,OutlookSuperRegion,OutlookSEAsia,Global
1,Armenia,ARM,Armenia,Active,ASD,RAP,COS,RestOfTheWorld,WLD
2,Afghanistan,AFG,Afghanistan,Active,AS2,RAP,COS,RestOfTheWorld,WLD
3,Albania,ALB,Albania,Active,EUE,REU,COS,RestOfTheWorld,WLD
4,Algeria,DZA,Algeria,Active,DZA,RNE,COS,RestOfTheWorld,WLD
5,American Samoa,ASM,American Samoa,Active,OCE,RAP,COS,RestOfTheWorld,WLD
6,Andorra,AND,Andorra,Active,EUW,REU,COS,RestOfTheWorld,WLD
7,Angola,AGO,Angola,Active,AGO,RAF,COS,RestOfTheWorld,WLD
8,Antigua and Barbuda,ATG,Antigua and Barbuda,Active,SAC,RLC,COS,RestOfTheWorld,WLD
9,Argentina,ARG,Argentina,Active,ARG,ARG,AGL,RestOfTheWorld,WLD
10,Australia,AUS,Australia,Active,AUS,AUS,AGL,RestOfTheWorld,WLD
11,Austria,E15,EU-15,Active,E15,EUN,AGL,RestOfTheWorld,WLD
12,Bahamas,BHS,Bahamas,Active,SAC,RLC,COS,RestOfTheWorld,WLD
13,Bahrain,BHR,Bahrain,Active,NRE,RNE,COS,RestOfTheWorld,WLD
14,Barbados,BRB,Barbados,Active,SAC,RLC,COS,RestOfTheWorld,WLD
15,Belgium-Luxembourg,,,,,,,,
16,Bangladesh,BGD,Bangladesh,Active,BGD,RAP,COS,RestOfTheWorld,WLD
17,Bermuda,,,,,,,,
18,Bhutan,BTN,Bhutan,Active,AS2,RAP,COS,RestOfTheWorld,WLD
19,Bolivia (Plurinational State of),BOL,Bolivia,Active,SAC,RLC,COS,RestOfTheWorld,WLD
20,Botswana,BWA,Botswana,Active,AF1,RAF,COS,RestOfTheWorld,WLD
21,Brazil,BRA,Brazil,Active,BRA,BRA,AGL,RestOfTheWorld,WLD
22,Aruba,ABW,Aruba,Commented,SAC,RLC,COS,RestOfTheWorld,WLD
23,Belize,BLZ,Belize,Active,SAC,RLC,COS,RestOfTheWorld,WLD
24,British Indian Ocean Territory,,,,,,,,
25,Solomon Islands,SLB,Solomon Islands,Active,OCL,RAP,COS,RestOfTheWorld,WLD
26,Brunei Darussalam,BRN,Brunei Darussalam,Active,ASA,RAP,COS,RestOfTheWorld,WLD
27,Bulgaria,NMS,New Member States,Active,NMS,EUN,AGL,RestOfTheWorld,WLD
28,Myanmar,MMR,Myanmar,Active,MMR,RAP,COS,OutlookSEAsia,WLD
29,Burundi,BDI,Burundi,Active,AF2,RAF,COS,RestOfTheWorld,WLD
30,Antarctica,,,,,,,,
32,Cameroon,CMR,Cameroon,Active,CMR,RAF,COS,RestOfTheWorld,WLD
33,Canada,CAN,Canada,Active,CAN,CAN,AGL,RestOfTheWorld,WLD
35,Cabo Verde,CPV,Cape Verde,Active,AF1,RAF,COS,RestOfTheWorld,WLD
36,Cayman Islands,CYM,Cayman Islands,Commented,SAC,RLC,COS,RestOfTheWorld,WLD
37,Central African Republic,CAF,Central African Republic,Active,AF2,RAF,COS,RestOfTheWorld,WLD
38,Sri Lanka,LKA,Sri Lanka,Active,ASA,RAP,COS,RestOfTheWorld,WLD
39,Chad,TCD,Chad,Active,TCD,RAF,COS,RestOfTheWorld,WLD
40,Chile,CHL,Chile,Active,CHL,RLC,COS,RestOfTheWorld,WLD
41,"China, mainland",CHN,China,Active,CHN,CHN,AGL,RestOfTheWorld,WLD
42,Christmas Island,CXR,Christmas Island,Commented,OCE,RAP,COS,RestOfTheWorld,WLD
43,Cocos (Keeling) Islands,CCK,Cocos (Keeling) Islands,Commented,OCE,RAP,COS,RestOfTheWorld,WLD
44,Colombia,COL,Colombia,Active,COL,RLC,COS,RestOfTheWorld,WLD
45,Comoros,COM,Comoros,Active,AF2,RAF,COS,RestOfTheWorld,WLD
46,Congo,COG,Congo,Active,COG,RAF,COS,RestOfTheWorld,WLD
47,Cook Islands,COK,Cook Islands,Active,OCE,RAP,COS,RestOfTheWorld,WLD
48,Costa Rica,CRI,Costa Rica,Active,SAC,RLC,COS,RestOfTheWorld,WLD
49,Cuba,CUB,Cuba,Active,SAC,RLC,COS,RestOfTheWorld,WLD
50,Cyprus,NMS,New Member States,Active,NMS,EUN,AGL,RestOfTheWorld,WLD
51,Czechoslovakia,,,,,,,,
52,Azerbaijan,AZE,"Azerbaijan, Republic of",Active,ASD,RAP,COS,RestOfTheWorld,WLD
53,Benin,BEN,Benin,Active,AF2,RAF,COS,RestOfTheWorld,WLD
54,Denmark,E15,EU-15,Active,E15,EUN,AGL,RestOfTheWorld,WLD
55,Dominica,DMA,Dominica,Active,SAC,RLC,COS,RestOfTheWorld,WLD
56,Dominican Republic,DOM,Dominican Republic,Active,SAC,RLC,COS,RestOfTheWorld,WLD
57,Belarus,BLR,Belarus,Active,EUE,REU,COS,RestOfTheWorld,WLD
58,Ecuador,ECU,Ecuador,Active,SAC,RLC,COS,RestOfTheWorld,WLD
59,Egypt,EGY,Egypt,Active,EGY,RNE,COS,RestOfTheWorld,WLD
60,El Salvador,SLV,El Salvador,Active,SAC,RLC,COS,RestOfTheWorld,WLD
61,Equatorial Guinea,GNQ,Equatorial Guinea,Active,AF2,RAF,COS,RestOfTheWorld,WLD
62,Ethiopia PDR,,,,,,,,
