Domain,ItemCode,ElementCode,OutlookElementCode,OutlookAdjustment
GR,RI,5312,AH,0.001
GR,,72255,EM_CH4,1
GR,,72315,EM_CH4Eq,1
GE,MK,5111,CI,0.001
GE,BV,5111,LI,0.001
GE,SH,5111,LI,0.001
GE,PK,5111,LI,0.001
GE,,72254,EM_CH4,1
GE,,72314,EM_CH4Eq,1
GM,MK,5111,CI,0.001
GM,BV,5111,LI,0.001
GM,SH,5111,LI,0.001
GM,PK,5111,LI,0.001
GM,PT,5111,LI,0.001
GM,,72256,EM_CH4,1
GM,,72446,EM_CH4Eq,1
GM,,72306,EM_N2O,1
GM,,72436,EM_N2OEq,1
GU,MK,5111,CI,0.001
GU,BV,5111,LI,0.001
GU,SH,5111,LI,0.001
GU,PK,5111,LI,0.001
GU,PT,5111,LI,0.001
GU,,72301,EM_N2O,1
GU,,72311,EM_N2OEq,1
GP,MK,5111,CI,0.001
GP,BV,5111,LI,0.001
GP,SH,5111,LI,0.001
GP,PK,5111,LI,0.001
GP,PT,5111,LI,0.001
GP,,72300,EM_N2O,1
GP,,72310,EM_N2OEq,1
GT,,7231,Emissions_CO2Eq,1
GT,,7244,EM_CH4Eq,1
GT,,7243,EM_N2O,1
