ItemCode,ItemName,OutlookItemCode,ItemCodeAggSign,Exist
27,Rice,RI,+,TRUE
1051,"Swine, breeding",PK,+,TRUE
1049,"Swine, market",PK,+,TRUE
976,Sheep,SH,+,TRUE
1016,Goats,SH,+,TRUE
961,"Cattle, non-dairy",BV,+,TRUE
946,Buffaloes,BV,+,TRUE
960,"Cattle, dairy",MK,+,TRUE
1107,Asses,EQ,+,FALSE
1126,Camels,EQ,+,FALSE
1096,Horses,EQ,+,FALSE
1177,Llamas,EQ,+,FALSE
1110,Mules,EQ,+,FALSE
1053,"Chickens, broilers",PT,+,TRUE
1052,"Chickens, layers",PT,+,TRUE
1068,Ducks,PT,+,TRUE
1079,Turkeys,PT,+,TRUE
5058,Enteric Fermentation,GE,+,TRUE
5059,Manure Management,GM,+,TRUE
5060,Rice Cultivation ,GR,+,TRUE
5062,Manure applied to Soils,GU,+,TRUE
5063,Manure left on Pasture,GP,+,TRUE
5064,Crop Residues,GA,+,FALSE
6759,Cultivation of Organic Soils,GV,+,FALSE
5066,Burning - Crop residues,GB,+,FALSE
5067,Burning - Savanna,GH,+,FALSE
5061,Synthetic Fertilizers,GY,+,FALSE
